"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59"
"men_Pt004_RPLCneg",-11.733,5.1215,-14.989,14.289,-5.3421,2.9285,-3.0376,2.9032,-3.8332,5.4167,-1.4452,2.6312,-1.4065,0.81343,-1.4709,4.6639,-3.1013,0.75918,1.3523,-1.9651,-1.3493,2.6308,0.77709,0.61111,-3.1955,-0.51488,-0.55475,-4.0158,2.9278,0.076426,2.4878,4.7405,2.623,-4.2542,-1.0718,-2.5339,7.1147,1.1495,-2.0835,-0.23474,-1.8243,-0.10572,-0.47288,-2.826,-0.80804,1.5175,4.7962,1.869,-4.1899,-1.3384,-0.715,-1.6264,-2.5106,2.6586,1.9985,-0.65366,-0.32918,0.92081,1.7519e-14
"men_Pt007_RPLCneg",2.8983,7.7857,-6.1727,-1.8175,-2.9251,0.8742,-2.6237,5.0502,-8.8456,-1.6493,0.73126,-0.52437,-3.3125,-0.33021,-1.1025,1.4772,1.0347,-0.69586,-0.037506,-1.8679,1.3628,-1.0507,-3.0991,1.174,-3.0784,-4.5276,-1.5324,2.1133,0.88585,-4.0474,2.5458,1.216,1.2802,1.4544,0.14995,-2.9503,4.1556,7.7527,-1.2796,-3.2086,2.4168,-0.023759,-0.75012,1.4523,0.00054326,1.3259,-1.6634,-1.9121,2.5247,-1.1111,3.535,0.76731,-0.24161,-6.1726,-1.604,1.6057,0.22454,1.3925,3.7106e-15
"men_Pt008_RPLCneg",1.4739,5.0518,-5.2073,4.8259,-0.22777,2.1066,6.5811,-4.9022,0.3314,0.28034,1.3025,0.59965,3.3014,2.6557,-2.2154,3.1011,5.8805,-1.9084,-1.4659,1.2953,-0.11882,2.1745,-0.69865,-3.506,-1.7852,-0.0041512,0.79612,2.4565,1.4532,-3.6049,-2.3656,-4.5427,2.7404,-0.041388,2.6579,-0.89769,0.29034,1.7894,0.81121,3.2471,-1.2323,-3.2562,-1.7462,3.0583,0.012475,1.0347,-2.718,-2.7731,1.8579,1.5565,1.9458,-3.1645,-4.3149,2.7684,3.7974,-1.6165,3.9681,0.22646,3.3792e-15
"men_Pt010_RPLCneg",-11.288,2.6705,10.701,16.969,9.6061,-8.3923,3.3382,4.8031,-1.6923,7.7506,-6.0042,-12.074,3.9207,3.4722,5.2462,-4.1394,3.1119,-3.4337,-2.7343,-1.6849,1.464,-1.0253,-4.881,-7.0637,-0.0058782,-4.8878,2.5146,4.2444,1.0147,-3.066,-0.62182,3.0394,0.61185,-0.59692,-3.3906,1.3037,-4.4966,0.65794,-0.76241,1.8302,1.4633,-0.77919,-0.5724,-3.4421,0.53502,0.96812,1.7141,0.33088,-1.1847,-1.6364,-1.7048,0.29096,-0.67942,-0.67714,-0.58004,-0.37047,0.27533,0.33241,1.1692e-15
"men_Pt013_RPLCneg",-16.216,4.4037,12.45,5.3197,2.5854,-0.92598,10.177,-4.494,-7.6591,-3.5409,5.8974,1.553,-0.48994,-0.08093,6.0625,-8.0169,-1.9649,2.1377,6.3142,-4.3047,8.2487,5.1802,3.851,-2.0684,3.5591,0.18504,-3.304,-1.0454,-4.5338,-1.904,2.121,-2.7197,0.65257,5.8705,3.0041,-1.9218,2.7407,0.30902,-1.7145,1.5012,0.053425,0.31997,-1.1207,1.6075,-1.7705,1.4309,0.98032,0.74381,-1.4689,-2.2935,-1.7355,0.52743,0.26424,1.3203,-1.8433,-0.42102,0.68307,-0.19411,1.6237e-14
"men_Pt020_RPLCneg",17.772,7.1962,-11.258,19.41,2.739,5.9061,-4.6698,-5.8744,9.2431,-6.6462,4.9232,-1.8272,5.5459,2.8247,4.2948,7.3303,2.4819,-2.0089,3.3201,0.92317,10.044,-2.0139,-1.3558,0.8422,3.9239,3.9433,5.1514,-2.7899,-1.2382,-0.057796,-0.17713,3.8956,-0.094578,3.3368,-2.2211,-0.56324,-0.82935,1.5121,2.3018,-1.2906,-0.42136,0.71726,-1.1156,-1.331,0.66188,2.3069,-3.1907,0.54678,-1.2884,0.068132,1.518,-0.46157,0.42728,0.25621,1.203,1.6612,-2.3421,0.58888,5.7523e-15
"men_Pt025_RPLCneg",-17.172,2.8808,1.6699,8.989,-1.6537,-0.38407,21.458,-1.9356,-0.11315,0.72897,-1.0557,4.8211,10.102,-6.8521,3.1996,5.6464,-0.70762,5.3203,-0.30587,0.24063,-0.29956,-3.6616,-0.7215,6.26,-3.2524,-1.3558,-1.7633,2.2012,0.72546,-0.034209,0.036038,2.0402,-0.11886,0.61235,0.75731,2.5224,0.49966,-2.2118,-3.056,1.6807,1.3404,0.60374,0.69538,-2.5168,0.87035,-1.1587,0.10708,0.29055,3.2548,-0.24081,1.9078,1.5246,2.9016,0.11043,2.5521,0.17816,-0.67673,1.5833,1.7486e-15
"men_Pt027_RPLCneg",5.3679,-15.458,8.1025,-13.994,6.8084,-7.0078,3.9651,-7.2924,-2.538,-3.6574,6.8233,-4.7414,7.9014,-0.73763,-6.6898,-1.7359,3.0289,-0.39754,-6.1399,-7.7341,-2.2511,-6.5273,-1.2865,-1.2899,-5.5794,6.1058,2.4527,-5.144,-4.8092,0.19343,0.27229,-0.91226,2.7462,-2.4875,-0.29566,-0.73182,1.0596,1.0171,-2.2018,-0.21101,0.93487,3.5578,-1.3714,0.69434,0.16398,2.1742,0.90614,0.58091,-0.46851,1.3216,-1.7503,-0.013421,-1.3208,-0.74828,-0.13599,0.2409,-1.1421,0.055548,-1.1376e-14
"men_Pt047_RPLCneg",-5.4853,-47.376,-2.7776,11.912,7.8353,-2.2036,-8.0313,-10.352,2.1522,-5.8231,-7.5608,5.3209,-0.4002,1.0848,6.1475,-0.93846,-0.30445,7.624,6.9623,-1.02,-5.4209,-7.6347,-0.58383,-2.6268,-2.6443,-5.2808,1.583,2.3832,0.13006,0.45404,-0.15723,-2.9359,2.4104,-0.86957,-0.28827,-2.3772,1.2479,-0.61141,1.7498,-0.39125,-0.91912,-0.22107,-0.13905,2.0897,-1.5436,-1.29,-0.80288,0.0062914,-1.2012,-0.98808,0.33949,-0.26256,0.70487,-0.022961,-0.022651,0.15606,-0.69768,-0.25103,1.1182e-14
"men_Pt060_RPLCneg",-4.7297,0.12678,-15.016,-5.061,-5.0737,-1.3128,9.4995,-1.8699,1.0427,-2.4772,-0.9298,-0.42915,6.5909,-5.0282,2.8473,2.0738,-3.0508,-0.11822,-2.2537,-2.9742,4.411,-0.087067,1.0017,2.8964,-1.0664,-3.2699,-1.6731,0.50941,2.9152,0.77468,1.1105,-0.89674,-0.10215,-3.2482,-3.5398,3.7287,0.30776,-0.4885,4.6061,-3.8862,-1.196,-1.5529,2.971,1.7154,1.317,1.9871,-0.98777,-3.5964,-2.9088,0.32578,-2.6323,-2.3531,-1.3447,-0.43402,-4.2568,0.0010517,1.0823,-3.3583,-5.676e-15
